Mouser;1;1;0;0;0;0;0;0;0;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
Slow;417;101;968;79;793;147;32;80;45;1945;1995;1576;1500;1500;2029;1995;1576;1500;1500;1500;1500
dick trickle;0;0;0;0;2;0;0;0;0;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
tofu;3;0;0;0;0;0;0;0;0;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
Gunnerman Bill;25;5;18;5;41;10;2;0;1;1349;1423;1500;1500;1500;1349;1423;1500;1500;1500;1500;1500
ColdMan;18;0;20;6;24;1;3;0;0;1332;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
Hobo;3;0;1;0;4;0;0;0;0;1410;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
re*****t******a****rd;0;0;0;0;1;0;0;0;0;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
T-Bone Shackleton;1;0;0;0;0;0;0;0;0;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
Never Going To Make I;78;2;84;28;137;27;5;0;1;1210;1324;1500;1500;1500;1210;1324;1500;1500;1500;1500;1500
Sanic;6;0;1;0;1;0;0;0;0;1455;1500;1438;1500;1500;1455;1500;1438;1500;1500;1500;1500
Asslicker2000;5;0;0;0;0;0;0;0;0;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
donk_konk;188;4;426;57;482;38;46;7;10;1449;1500;1500;1500;1500;1673;1500;1500;1500;1500;1500;1500
BigVibes;2815;255;6606;836;6435;930;435;319;289;1630;1792;1374;1500;1622;1997;1942;1582;1500;1703;1500;1500
naggot's fingers;196;2;69;27;81;8;6;7;8;1279;1409;1394;1500;1500;1500;1501;1500;1500;1500;1500;1500
DEAD TRANNIES;72;14;186;22;181;17;14;12;5;1898;1500;1500;1500;1612;1904;1500;1500;1500;1612;1500;1500
newfag;5;0;2;0;4;1;0;0;2;1500;1454;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
qwerewqr;1;0;0;0;0;0;0;0;0;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
Landbear;14;0;8;2;16;4;0;0;0;1500;1303;1365;1500;1500;1500;1303;1365;1500;1500;1500;1500
Soggums;65;5;164;28;175;31;7;15;8;1710;1754;1500;1500;1500;1710;1754;1500;1500;1500;1500;1500
Al_Sneed;8;0;0;5;2;3;0;0;5;1500;1500;1441;1500;1500;1500;1500;1441;1500;1500;1500;1500
anal violation;4;0;6;3;11;2;0;0;0;1330;1500;1500;1500;1500;1330;1500;1500;1500;1500;1500;1500
pranstick;30;1;1;1;11;6;1;0;1;1394;1279;1500;1500;1500;1394;1279;1500;1500;1500;1500;1500
Player 8;0;0;0;0;0;0;0;0;0;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
pengo;9;0;30;2;9;1;1;0;0;1216;1500;1500;1500;1272;1500;1500;1500;1500;1500;1500;1500
